Category,Tag,Description,Example
Instruction,Instruction-Clarity,"The student think one of the parts of the instruction is helpful such as pictures, highlight, etc.",I like the pictures. I think the pictures were really helpful.
,Instruction-Setting up or Web page helpful,The student specifically think the instruction of setting up or going to web page is helpful,"The simple instructions of just showing up just saying like, click five times, and each of these, each of these circles, and I think that just made it very easy to calibrate."
,Instruction-Gaps,"The student think one of the parts of the instucntion is unhelpful such as the order of the terminal, etc.","I guess, the emphasis on setting up the IDE may not necessarily be as important because later on it, you don't really mess with the IDE"
Advice - Instruction,Advice-repetitive instruction,"Studnets think the there are parts of repetitive words or paragraphs in setting up Webcam, etc.",maybe this one for vs. Code is not needed when it has it right here with just a red box highlighting.
,Advice-maximize the notification,Students think the notification should be maximized to a bigger size,"Okay, like, because it's so tiny. I didn't really pay attention to it to be honest."
,Advice-Sequential steps,Students think making the steps sequentially instead of showing same steps for both terminal and IDE will be helpful,"I'd say like group sequential steps on the same page, because there were some times where I was on one step. "
,Advice-pictures,Students think the pictures in instruction should be detailed or add more,"I think maybe the pictures, some of the features are repeating since it's a little confusing, because everything it looks a little similar. I didn't think it was okay"
Advice -webcam study,Advice-terminal,Students think the instruction of the terminal should be improved,I guess I found also the the instructions for running it in terminal a little confusing. So then I just ran into VS code.
,Advice-browser,Students think the instruction of how to open the local host in browser should be improved,"Maybe the instructions about what to do when you're actually on the page? Because it's when you press start, it kind of like tells you what to do."
,Advice-Interface,Students think the interface of the local host should be improved,"Overall, it was quite a new experience. And I'm very happy I participated in it. But just some of the formatting of some of the questions are a little bit complicated and hard to read."
,Advice-Calibration,Students think the instruction of the calibration part should be improved,"And then I didn't know that I have to click on the OK button. So I'll, so I waited for 30 seconds."
Overall Experience,Overall Experience-task fair,"Students think the task is fair, some are difficult","And I'm also comfortable answering those questions, because they're kind of overlearning in class right now."
,Overall Experience-environment not good,Students think the environment is not good enough for them to focus,"No, is that the camera is like flashing all the time. So that but that might be a little bit distracting, but other than that, it's all good"
,Overall Experience-environment  good,Students think the environment is good enough for them to focus,I think it went very smoothly and there were like detailed instructions. So it was very good.
,Overall Experience-fitting face in the frame,Students think fitting their face in the frame of camera makes them tired,"Or the environment, everything was fine. The setup was fine. So it was just like, kind of hard? Because Stay still. "
,Overall Experience-Calibration too many times,Student need to do too many times calibrations to reach 70% for Webcam,"I think the calibration was that was, I think I had to do it like three times on a couple of the goals"
,Overall Experience-Recursive tasks difficult,Students think the recursive tasks were difficult for them,"if the code itself is pretty long, then it will become difficult. And some recursion code requires you to keep track of everything. Because I don't have a scratch paper."
,Overall Experience-Racket Part difficult,Students think the racket part questions are epsecially harder,We're pretty in the middle of some tasks were easier than others.
,Overall Experience-tired and distracted at the end,"Students think at the end after two sections of tasks, they feel tired and distracted","Not nothing special, but I guess by the end, like a third task, I think I was a little distracted. Oh, okay. But that doesn't really have to do with the test I guess. I guess it's like, just so many questions."
